game,release_date,copies_sold,price,revenue,avg_playtime,review_score,publisher_class,publisher,developers,steam_id,total_revenue,revenue_percentage,days_in_market,average_price_per_hour
TerraScape,2024-07-17,117418,14.99,1188273.0,6.0,88,Indie,"Stray Fawn Publishing,INSTINCT3",Bitfall Studios,2290000,1188273.0,100.0,54,2.5
Farm Together 2,2024-05-07,68838,19.99,1188098.0,51.1,0,Indie,Milkstone Studios,Milkstone Studios,2418520,1188098.0,100.0,125,0.39
Slaves of Rome,2024-02-12,61190,24.99,1173275.0,8.4,68,Indie,Biggus Diccus Games,Biggus Diccus Games,1380070,1173275.0,100.0,210,2.97
Dread Delusion,2024-05-14,75015,19.99,1170260.0,8.5,92,Indie,DreadXP,Lovely Hellplace,1574240,1383461.0,84.59,118,2.35
KeeperRL,2024-02-29,85309,19.99,1168042.0,18.7,87,Indie,Electric Succubi,Electric Succubi,329970,1168042.0,100.0,193,1.07
KinitoPET,2024-01-09,227576,5.99,1166563.0,3.2,94,Indie,troy_en,troy_en,2075070,1166563.0,100.0,244,1.87
Grocery Store Simulator,2024-06-10,170125,7.99,1160637.0,10.3,95,Indie,FEKK Games,FEKK Games,2961880,1160637.0,100.0,91,0.78
Selaco,2024-05-31,56176,24.99,1160305.0,11.1,93,Indie,Altered Orbit Studios,Altered Orbit Studios,1592280,1160305.0,100.0,101,2.25
Farmer Against Potatoes Idle,2024-09-05,234948,0.0,1153910.9084421117,256.3,96,Indie,Oni Gaming,Oni Gaming,1535560,1153910.9084421117,100.0,4,0.0
Rooftops & Alleys: The Parkour Game,2024-05-21,81558,15.99,1153011.0,7.2,97,Indie,MLMEDIA,MLMEDIA,2703850,1153011.0,100.0,111,2.22
A Difficult Game About Climbing,2024-03-06,122429,9.99,1126490.0,8.1,89,Indie,Pontypants,Pontypants,2497920,1126490.0,100.0,187,1.23
Reverse Collapse: Code Name Bakery,2024-03-21,63158,24.99,1124733.0,33.2,74,Indie,XD,"Shanghai Sunborn Network Technology Co., Ltd.",1127700,3169423.0,35.49,172,0.75
Dominions 6 - Rise of the Pantokrator,2024-01-17,29273,44.99,1090577.0,79.4,89,Indie,Illwinter Game Design,Illwinter Game Design,2511500,1090577.0,100.0,236,0.57
Esports Godfather,2024-05-23,65251,19.99,1072894.0,30.3,93,Indie,Asteroid Game Studio,Asteroid Game Studio,1278540,1072894.0,100.0,109,0.66
KAKU: Ancient Seal,2024-07-11,63579,24.99,1061930.0,21.7,86,Indie,BINGOBELL,BINGOBELL,1179580,1061930.0,100.0,60,1.15
Yaoling: Mythical Journey,2024-07-15,62937,19.99,1047362.0,21.3,91,Indie,"RAYKA STUDIO,NPC Entertainment",RAYKA STUDIO,2816950,1047362.0,100.0,56,0.94
Crow Country,2024-05-09,61044,19.99,1045536.0,4.8,99,Indie,SFB Games,SFB Games,1996010,1045536.0,100.0,123,4.16
Oddsparks: An Automation Adventure,2024-04-24,61371,24.99,1042637.0,12.5,91,Indie,HandyGames,Massive Miniteam,1817800,1042637.0,100.0,138,2.0
Emberward,2024-06-25,78590,14.99,1042636.0,9.5,96,Indie,ReficGames,ReficGames,2459550,1042636.0,100.0,76,1.58
Yi Xian: The Cultivation Card Game,2024-01-21,286872,0.0,1039161.219972389,55.0,75,AA,Gamera Games,Darksun Studio,1948800,4688499.219972389,22.16,232,0.0
Project QT,2024-01-16,26716,0.0,1036107.0,105.6,63,Indie,Nutaku Publishing,xDNA,1571200,3449253.0,30.04,237,0.0
Snufkin: Melody of Moominvalley,2024-03-07,60378,19.99,1019946.0,3.2,98,AA,Raw Fury,Hyper Games,1808680,2959687.0,34.46,186,6.25
Minishoot' Adventures,2024-04-02,78535,14.99,1001962.0,7.3,98,Indie,"SoulGame Studio,IndieArk",SoulGame Studio,1634860,1001962.0,100.0,160,2.05
WRATH: Aeon of Ruin,2024-02-27,47909,24.99,985076.0,3.0,74,Indie,"3D Realms,Fulqrum Publishing","KillPixel Games,Slipgate Ironworks",1000410,1318408.0,74.72,195,8.33
Ace Attorney Investigations Collection,2024-09-05,27151,39.99,977191.0,4.1,98,AAA,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",2401970,117881025.0,0.83,4,9.75
Solium Infernum,2024-02-22,29536,39.99,966283.0,24.7,88,Indie,League of Geeks,League of Geeks,1893810,966283.0,100.0,200,1.62
Command & Conquer Red Alert™ 2 and Yuri’s Revenge™,2024-03-07,295759,0.0,961994.0,20.6,92,AAA,Electronic Arts,EA Los Angeles,2229850,21635263.0,4.45,186,0.0
The Elder Scrolls Online: Gold Road,2024-06-03,27601,39.99,960791.0,0.0,44,AAA,Bethesda Softworks,ZeniMax Online Studios,2662630,960791.0,100.0,98,inf
Go-Go Town!,2024-06-18,45863,24.99,957117.0,8.8,0,Indie,"CULT Games,Prideful Sloth",Prideful Sloth,2195120,957117.0,100.0,83,2.84
MotoGP™24,2024-05-02,23431,49.99,954851.0,23.0,83,Indie,Milestone S.r.l.,Milestone S.r.l.,2581700,997817.0,95.69,130,2.17
Bandle Tale: A League of Legends Story,2024-02-21,43330,24.99,954119.0,10.7,80,Indie,Riot Forge,Lazy Bear Games,1759380,954119.0,100.0,201,2.34
Command & Conquer™ Generals Zero Hour,2024-03-07,201644,0.0,933938.0,21.3,89,AAA,Electronic Arts,EA Los Angeles,2732960,21635263.0,4.32,186,0.0
Command & Conquer™ Generals,2024-03-07,90955,0.0,930800.0,12.0,85,AAA,Electronic Arts,EA Los Angeles,2229870,21635263.0,4.3,186,0.0
VLADiK BRUTAL,2024-08-09,92754,11.99,928429.0,4.6,89,Indie,Narko Games,Narko Games,1316680,928429.0,100.0,31,2.61
Momodora: Moonlit Farewell,2024-01-11,68442,16.99,927493.0,6.5,92,AA,PLAYISM,Bombservice,1747760,976274.0,95.0,242,2.61
Command & Conquer™ Tiberian Sun™ and Firestorm™,2024-03-07,65809,0.0,926924.0,12.3,91,AAA,Electronic Arts,EA Los Angeles,2229880,21635263.0,4.28,186,0.0
Frontier Hunter: Erza’s Wheel of Fortune,2024-07-26,54431,24.99,922336.0,11.1,88,Indie,"IceSitruuna,NPC Entertainment",IceSitruuna,1429500,922336.0,100.0,45,2.25
Command & Conquer Renegade™,2024-03-07,26120,0.0,921771.0,7.8,86,AAA,Electronic Arts,EA Los Angeles,2229890,21635263.0,4.26,186,0.0
Command & Conquer™ and The Covert Operations™,2024-03-07,21266,0.0,921760.0,8.6,82,AAA,Electronic Arts,EA Los Angeles,2229830,21635263.0,4.26,186,0.0
"Command & Conquer Red Alert™, Counterstrike™ and The Aftermath™",2024-03-07,26292,0.0,920024.0,10.3,86,AAA,Electronic Arts,EA Los Angeles,2229840,21635263.0,4.25,186,0.0
Anger Foot,2024-07-11,40294,24.99,906252.0,5.6,93,AA,Devolver Digital,Free Lives,1978590,3012238.0,30.09,60,4.46
Echoes of the Plum Grove,2024-04-29,54189,19.99,902318.0,24.7,0,Indie,indie.io,Unwound Games,1536090,1950658.0,46.26,133,0.81
Boxes: Lost Fragments,2024-02-01,68169,14.99,900796.0,4.1,91,Indie,Snapbreak,Big Loop Studios,2019810,900796.0,100.0,221,3.66
VAIL VR,2024-02-15,89548,29.99,887656.0,3.7,78,Indie,AEXLAB,AEXLAB,801550,887656.0,100.0,207,8.11
Gym Simulator 24,2024-07-19,109135,10.99,884330.0,4.3,90,Indie,Red Axe Games,Quatech,2559270,884330.0,100.0,52,2.56
Reus 2,2024-05-28,42986,24.99,879212.0,12.3,97,Indie,Firesquid,Abbey Games,1875060,1371080.0,64.13,104,2.03
Wizardry: Proving Grounds of the Mad Overlord,2024-05-23,29055,34.99,875986.0,32.2,85,Indie,Digital Eclipse,Digital Eclipse,2518960,910466.0,96.21,109,1.09
Instruments of Destruction,2024-05-10,55717,19.99,874462.0,8.5,94,Indie,Radiangames,Radiangames,1428100,874462.0,100.0,122,2.35
Shogun Showdown,2024-09-05,103097,14.99,871956.0,14.7,97,Indie,"Goblinz Publishing,Gamera Games",Roboatino,2084000,871956.0,100.0,4,1.02
PILGRIM,2024-05-31,131573,7.99,867610.0,3.3,88,Indie,DESPERATE MEASURES,DESPERATE MEASURES,2965660,867610.0,100.0,101,2.42
Squirrel with a Gun,2024-08-29,53495,19.99,866137.0,3.6,83,Indie,Maximum Entertainment,Dee Dee Creations LLC,2067050,1570245.0,55.16,11,5.55
News Tower,2024-02-13,50123,19.99,864588.0,13.8,97,Indie,Twin Sails Interactive,Sparrow Night,1649950,913761.0,94.62,209,1.45
Aeons Echo,2024-08-22,59501,0.0,853013.0,6.8,83,Indie,Nutaku Publishing,Aeons Studio,2832330,3449253.0,24.73,18,0.0
Cryptmaster,2024-05-09,40489,24.99,845758.0,5.7,96,Indie,Akupara Games,"Paul Hart,Lee Williams,Akupara Games",1885110,969735.0,87.22,123,4.38
Cat Quest III,2024-08-08,50873,19.99,836331.0,5.9,0,Indie,Kepler Interactive,The Gentlebros,2305840,11324934.0,7.38,32,3.39
MEMORIAPOLIS,2024-08-29,43572,24.99,832922.0,3.6,83,Indie,5PM Studio,5PM Studio,2228280,832922.0,100.0,11,6.94
Fallen Aces,2024-06-14,81873,12.99,831336.0,3.7,98,AA,New Blood Interactive,"Trey Powell,Jason Bond",1411910,831336.0,100.0,87,3.51
Megaloot,2024-08-30,101120,9.99,829084.0,7.1,85,Indie,"Ravenage Games,INSTINCT3",axilirate,2440380,829084.0,100.0,10,1.41
The Operator,2024-07-22,70976,13.99,827721.0,3.0,93,Indie,"Bureau 81,indienova",Bureau 81,1771980,827721.0,100.0,49,4.66
Perfect World M,2024-02-22,3768,0.0,825766.0,46.9,33,Indie,PERFECT WORLD GAMES,PERFECT WORLD GAMES,2715240,825766.0,100.0,200,0.0
Knock on the Coffin Lid,2024-08-08,49983,24.99,824669.0,36.1,85,Indie,RedBoon,RedBoon,1232580,824669.0,100.0,32,0.69
STAR WARS™: Dark Forces Remaster,2024-02-28,30598,29.99,824203.0,4.8,90,Indie,Nightdive Studios,"Nightdive Studios,LucasArts",2292260,824203.0,100.0,194,6.25
Castlevania Dominus Collection,2024-08-27,36203,24.99,814241.0,8.3,96,AA,KONAMI,KONAMI,2369900,1278393.0,63.69,13,3.01
No Case Should Remain Unsolved,2024-01-17,152090,6.99,814072.0,2.0,98,Indie,Somi,Somi,2676840,814072.0,100.0,236,3.5
Spell Disk,2024-03-01,65281,14.99,812211.0,11.1,88,Indie,Sunpeak Games,Sunpeak Games,2292060,812211.0,100.0,192,1.35
Dungeons & Degenerate Gamblers,2024-08-08,65164,14.99,806583.0,8.1,75,Indie,Yogscast Games,Purple Moss Collectors,2400510,1082039.0,74.54,32,1.85
Outcast - A New Beginning,2024-03-15,19374,59.99,806366.0,15.0,84,AA,THQ Nordic,Appeal Studios,1013140,4969709.0,16.23,178,4.0
Ships At Sea,2024-05-23,36845,24.99,797925.0,15.2,0,Indie,Misc Games,Misc Games,1266540,797925.0,100.0,109,1.64
The Last Flame,2024-01-17,53815,17.99,793506.0,22.6,0,Indie,"Hotloop,Surefire.Games",Hotloop,1830970,793506.0,100.0,236,0.8
Yarimono,2024-08-30,39179,24.99,793022.0,6.4,87,Indie,072 Project,にゅう工房,2696050,2224410.0,35.65,10,3.9
JIANGHU CHRONICLES,2024-07-31,59040,16.99,790516.0,23.4,74,Indie,方块游戏(CubeGame),一品阁,1909840,1118362.0,70.69,40,0.73
Terminus: Zombie Survivors,2024-08-19,60505,19.99,787448.0,18.6,97,Indie,Longplay Studios,Longplay Studios,1534980,787448.0,100.0,21,1.07
MEGATON MUSASHI W: WIRED,2024-04-24,20281,49.99,787339.0,24.5,85,Indie,LEVEL5 Inc.,LEVEL5 Inc.,2450450,787339.0,100.0,138,2.04
WE ARE FOOTBALL 2024,2024-03-04,25210,39.99,779187.0,51.0,82,Indie,"HandyGames,THQ Nordic",Winning Streak Games,1951410,779187.0,100.0,189,0.78
Fling to the Finish,2024-01-18,102601,19.99,778760.0,11.8,85,AA,Daedalic Entertainment,SplitSide Games,1054430,4050926.0,19.22,235,1.69
Fate/stay night REMASTERED,2024-08-07,31040,29.99,764069.0,12.4,95,Indie,Aniplex Inc.,"TYPE-MOON,fuzz Inc.",2396980,1087427.0,70.26,33,2.42
Cyber Manhunt 2: New World - The Hacking Simulator,2024-05-09,91066,9.99,763279.0,5.4,92,Indie,Spiral Up Games,Aluba Studio,2421410,763279.0,100.0,123,1.85
Age of Water,2024-04-25,28566,29.99,752577.0,40.2,61,AA,Gaijin Network Ltd,Three Whales Studio,2695490,1986144.0,37.89,137,0.75
Metal Slug: Awakening,2024-07-19,141042,0.0,751373.0,12.5,60,Indie,HAOPLAY Limited,Tencent,2963870,751373.0,100.0,52,0.0
Welcome to ParadiZe,2024-02-29,31996,29.99,744243.0,11.5,65,AA,Nacon,Eko Software,1519090,5496124.0,13.54,193,2.61
Prince of Persia The Lost Crown,2024-08-08,32997,39.99,743441.0,12.3,78,AAA,Ubisoft,Ubisoft Montpellier,2751000,6454138.0,11.52,32,3.25
Level Zero: Extraction,2024-08-13,45552,19.99,742914.0,16.1,66,AA,tinyBuild,Doghowl Games,1456940,1100273.0,67.52,27,1.24
Oblivion Override,2024-01-24,61267,17.99,725958.0,13.9,92,Indie,Paleo,Humble Mill,1952370,725958.0,100.0,229,1.29
Tales & Tactics,2024-08-15,53902,17.99,724772.0,19.3,82,Indie,"Yogscast Games,Gamersky Games",Table 9 Studio,1652250,724772.0,100.0,25,0.93
Spiritfall,2024-02-28,45670,19.99,723249.0,13.4,93,Indie,Gentle Giant,Gentle Giant,1835240,723249.0,100.0,194,1.49
Starcom: Unknown Space,2024-09-02,38592,24.99,720375.0,18.3,91,Indie,"Wx3 Labs, LLC","Wx3 Labs, LLC",1750770,720375.0,100.0,7,1.37
Plane Mechanic Simulator,2024-02-14,110431,11.99,719997.0,4.5,60,Indie,Movie Games S.A.,"Cobble Games,Disaster Studio",803980,3486202.0,20.65,208,2.66
OUTBRK,2024-06-28,22704,34.99,714971.0,13.1,79,Indie,Sublime,Sublime,1107320,714971.0,100.0,73,2.67
Pro Cycling Manager 2024,2024-06-06,19951,39.99,709826.0,40.1,65,AA,Nacon,Cyanide Studio,2494350,5496124.0,12.92,95,1.0
Ale & Tale Tavern,2024-09-05,58289,14.99,707686.0,3.8,86,Indie,"GrabTheGames,UpgradePoint",Scienart Games,2683150,845139.0,83.74,4,3.94
Ultimate General: American Revolution,2024-06-06,16607,49.99,705648.0,25.6,76,Indie,Game-Labs,Game-Labs,1901910,841093.0,83.9,95,1.95
Until Then,2024-06-25,42561,19.99,704108.0,10.3,99,Indie,Maximum Entertainment,Polychroma Games,1574820,1570245.0,44.84,76,1.94
Robin Hood - Sherwood Builders,2024-02-29,29781,29.99,702787.0,15.0,72,AA,PlayWay S.A.,MeanAstronauts,1159420,10925072.0,6.43,193,2.0
Home Safety Hotline,2024-01-16,51830,14.99,700241.0,2.6,92,Indie,Night Signal Entertainment,Night Signal Entertainment,2357910,700241.0,100.0,237,5.77
Gatekeeper,2024-05-13,60295,14.99,691110.0,7.1,86,Indie,HypeTrain Digital,Gravity Lagoon,2106670,1037323.0,66.62,119,2.11
恋爱单选题,2024-07-18,74201,10.99,688783.0,6.2,85,Indie,"无忧传媒,指间宇宙",无忧传媒,2865490,688783.0,100.0,53,1.77
Lotus Lantern: Rescue Mother,2024-04-11,84001,9.99,684821.0,6.7,80,Indie,Plaisir Games,Unstable Games,2319030,684821.0,100.0,151,1.49
Monster Hunter Stories,2024-06-13,25340,29.99,683951.0,22.7,88,AAA,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",2356560,117881025.0,0.58,88,1.32
UNDERDOGS,2024-01-25,27593,29.99,683121.0,3.8,98,Indie,One Hamsa,One Hamsa,2441700,683121.0,100.0,228,7.89
Umamusume: Pretty Derby – Party Dash,2024-08-29,16684,44.99,675551.0,5.2,66,AA,"Cygames, Inc.","Cygames, Inc.,Arc System Works",2313020,49710788.0,1.36,11,8.65
War Hospital,2024-01-11,27672,29.99,673600.0,12.3,60,AA,Nacon,Brave Lamb Studio S.A.,1553000,5496124.0,12.26,242,2.44
Slice & Dice,2024-03-20,77805,8.99,673586.0,20.5,97,Indie,Tann,Tann,1775490,673586.0,100.0,173,0.44
Tavern Manager Simulator 🍻,2024-08-13,62204,12.99,673225.0,5.9,84,Indie,One More Time,One More Time,2756770,673225.0,100.0,27,2.2
Classified: France '44,2024-03-05,23879,49.99,670774.0,17.7,82,AA,Team17,Absolutely Games,2085370,2584283.0,25.96,188,2.82
Car Manufacture,2024-08-01,40273,19.99,668524.0,10.7,80,AA,PlayWay S.A.,STEREO GAMES S.A.,983380,10925072.0,6.12,39,1.87
Skull and Bones,2024-08-22,30388,59.99,667814.0,14.6,0,AAA,Ubisoft,Ubisoft Singapore,2853730,6454138.0,10.35,18,4.11
Duck Detective: The Secret Salami,2024-05-23,79652,9.99,663730.0,1.7,96,Indie,Happy Broccoli Games,Happy Broccoli Games,2637990,663730.0,100.0,109,5.88
MILF's Plaza,2024-04-19,54936,14.99,661717.0,5.3,69,Indie,TopHouse Publishing,Texic,2706300,714810.0,92.57,143,2.83
Cluckmech Oasis,2024-05-09,77537,9.99,649091.0,22.9,87,Indie,Mammorize,BlackLight,2453360,649091.0,100.0,123,0.44
Beer Factory,2024-01-10,40391,18.99,648123.0,8.2,52,Indie,"CreativeForge Games,PlayWay S.A.",AKEL,1782570,868293.0,74.64,243,2.32
Steps of Debauchery,2024-02-05,49713,14.99,646945.0,6.2,0,Indie,FooxiedGames,FooxiedGames,2649970,646945.0,100.0,217,2.42
Yakuza Rogue: Yokohama massage parlor chapter,2024-05-28,58817,12.99,638497.0,7.2,83,Indie,WAKUWAKU,WAKUWAKU,2857880,1092985.0,58.42,104,1.8
Dale & Dawson Stationery Supplies,2024-08-30,95537,7.99,634206.0,4.2,97,Indie,Striped Panda Studios,Striped Panda Studios,2920570,634206.0,100.0,10,1.9
Lorelei and the Laser Eyes,2024-05-16,28142,24.99,632941.0,11.2,96,AA,Annapurna Interactive,Simogo,2008920,781828.0,80.96,116,2.23
Minami Lane,2024-02-28,147247,4.99,632369.0,2.8,0,Indie,"Doot,Wholesome Games Presents","Doot,Blibloop",2678990,632369.0,100.0,194,1.78
Wild West Dynasty,2024-08-22,32024,26.99,625495.0,8.1,33,Indie,Toplitz Productions,Moon Punch Studio,1329880,727493.0,85.98,18,3.33
POOLS,2024-04-26,75464,9.79,623473.0,2.8,95,Indie,"Tensori,UNIKAT Label",Tensori,2663530,623473.0,100.0,136,3.5
Lil' Guardsman,2024-01-23,35849,19.99,611012.0,6.6,95,Indie,"Versus Evil,tinyBuild",Hilltop Studios,1924360,810171.0,75.42,230,3.03
Kalpa of Sword,2024-01-31,207970,0.0,606780.0,28.1,0,Indie,Orienjoy,孤帆工作室,2739600,606780.0,100.0,222,0.0
Dawn of Defiance,2024-08-15,43439,19.99,605601.0,12.6,80,Indie,Traega Entertainment,Traega Entertainment,2059530,605601.0,100.0,25,1.59
Murky Divers,2024-06-19,133629,5.99,605472.0,5.7,88,Indie,Oro Interactive,Embers,2963880,605472.0,100.0,82,1.05
Platform 8,2024-05-31,167800,3.99,602569.0,1.0,86,Indie,KOTAKE CREATE,KOTAKE CREATE,2903560,602569.0,100.0,101,3.99
Laysara: Summit Kingdom,2024-04-10,37722,19.99,602187.0,8.4,84,Indie,"Future Friends Games,Quite OK Games",Quite OK Games,1823950,602187.0,100.0,152,2.38
Arms Trade Tycoon: Tanks,2024-02-06,22152,29.99,601167.0,10.2,74,Indie,MicroProse Software,FunGi,1662210,1122389.0,53.56,216,2.94
Turnip Boy Robs a Bank,2024-01-18,49027,14.99,600836.0,3.8,96,Indie,Graffiti Games,Snoozy Kazoo,2097230,624972.0,96.14,235,3.94
Star Trek: Resurgence,2024-05-23,30539,24.99,597802.0,6.1,91,Indie,Bruner House,Dramatic Labs,2653940,597802.0,100.0,109,4.1
Hospital 666,2024-03-05,102445,7.99,596521.0,2.6,72,Indie,Lokin,Lokin,2774380,596521.0,100.0,188,3.07
Dice & Fold,2024-06-24,56528,12.99,582729.0,8.3,0,Indie,"Rogue Duck Interactive,Gamersky Games",Tinymice Entertainment,2693930,695466.0,83.79,77,1.57
Artisan TD,2024-07-22,41175,16.99,577505.0,14.7,91,Indie,Unexpected,4rtisans,2224640,577505.0,100.0,49,1.16
Caribbean Legend,2024-02-15,26133,29.99,562753.0,43.3,76,Indie,"BlackMark Studio,Valkyrie Initiative",BlackMark Studio,2230980,562753.0,100.0,207,0.69
SKALD: Against the Black Priory,2024-05-30,44588,14.99,560803.0,13.2,96,AA,Raw Fury,High North Studios AS,1069160,2959687.0,18.95,102,1.14
Supermarket Together,2024-08-09,2085116,0.0,554295.9124042441,6.3,0,Indie,DeadDevsTellNoLies,DeadDevsTellNoLies,2709570,554295.9124042441,100.0,31,0.0
SteamWorld Heist II,2024-08-08,21930,29.99,552082.0,15.9,96,Indie,Thunderful Publishing,Thunderful Development,2396240,3538110.0,15.6,32,1.89
Autopsy Simulator,2024-06-06,25263,24.99,548556.0,3.5,45,Indie,Team17 Digital Ltd,Woodland Games,1283230,582469.0,94.18,95,7.14
Vanity Fair: The Pursuit,2024-02-19,123654,6.99,543074.0,4.6,0,Indie,WaveGame,MuYan Studio,2758000,543074.0,100.0,203,1.52
Resist the succubus—The end of the female Knight,2024-07-26,54751,16.99,535736.0,4.7,77,Indie,OTAKU Plan,BoRoBoRoGame,1868000,786417.0,68.12,45,3.61
Garden Life: A Cozy Simulator,2024-02-22,25529,24.99,530576.0,14.7,80,AA,Nacon,stillalive studios,1915380,5496124.0,9.65,200,1.7
Penny’s Big Breakaway,2024-02-21,23256,29.99,524794.0,5.1,82,AA,Private Division,Evening Star,1955230,16474784.0,3.19,201,5.88
Omega Crafter,2024-03-28,23653,24.99,523807.0,14.3,0,Indie,Preferred Networks,Preferred Networks,2262080,523807.0,100.0,165,1.75
Fractured Online,2024-07-24,31955,14.99,521570.0,43.8,55,Indie,Dynamight Studios,Dynamight Studios,1426050,521570.0,100.0,47,0.34
DRAGON QUEST BUILDERS,2024-02-13,22804,27.99,519305.0,24.7,92,AA,Square Enix,Square Enix,2436570,12662055.0,4.1,209,1.13
Spectre Divide,2024-09-03,584912,0.0,515874.0,3.8,53,Indie,Mountaintop Studios,Mountaintop Studios,2641470,515874.0,100.0,6,0.0
RIPOUT,2024-05-28,25078,24.99,510816.0,9.2,78,Indie,3D Realms,Pet Project Games,1558830,684287.0,74.65,104,2.72
Song Of The Prairie,2024-07-31,34212,19.99,508466.0,26.5,86,Indie,AOE Plus,The Droplet Studio,1350840,508466.0,100.0,40,0.75
SpellRogue,2024-02-12,38313,15.99,504572.0,22.4,0,Indie,Ghost Ship Publishing,Guidelight Games,1990110,11022294.0,4.58,210,0.71
Train Capacity 300%,2024-06-26,10037,59.99,499436.0,3.8,76,Indie,072 Project,ベルゼブブ,2441570,2224410.0,22.45,75,15.79
The Settlers: New Allies,2024-03-26,24828,59.99,498522.0,29.1,52,AAA,Ubisoft,Ubisoft Düsseldorf,2750080,6454138.0,7.72,167,2.06
[Chilla's Art] Shinkansen 0 | 新幹線 0号,2024-03-22,78706,6.99,492076.0,1.8,85,Indie,Chilla's Art,Chilla's Art,2793370,694646.0,70.84,171,3.88
ROBOBEAT,2024-05-14,31582,19.99,491385.0,6.9,97,Indie,Kwalee,Simon Fredholm,1456760,491385.0,100.0,118,2.9
Denizen,2024-04-29,28820,19.99,489411.0,7.8,78,Indie,Departure Interactive,Departure Interactive,2010030,489411.0,100.0,133,2.56
I Wani Hug that Gator!,2024-02-14,38369,14.99,481057.0,14.5,99,Indie,Cavemanon,Cavemanon,1895350,481057.0,100.0,208,1.03
Corpse Keeper,2024-05-28,33315,19.99,480134.0,11.8,79,Indie,Thermite Games,Melancholia Studio,1601740,790805.0,60.71,104,1.69
SILENT BREATH,2024-04-05,55920,9.99,478886.0,1.3,70,Indie,EXODIAC STUDIOS,EXODIAC STUDIOS,2796180,478886.0,100.0,157,7.68
Romantic Escapades,2024-08-02,27493,19.99,478599.0,4.8,89,Indie,Salamander Interactive,Salamander Interactive,2897760,478599.0,100.0,38,4.16
9-Bit Armies: A Bit Too Far,2024-08-26,31112,19.99,477043.0,11.3,89,Indie,Petroglyph,Petroglyph,1439750,477043.0,100.0,14,1.77
An alt girl for skoof,2024-04-21,142590,4.99,476684.0,2.1,0,Indie,Terletski Games,"Terletski Games,RIKANIMATION",2901520,476684.0,100.0,141,2.38
Remnant Records,2024-01-23,40789,15.99,476002.0,6.2,86,Indie,Noctiluca Studio,Noctiluca Studio,1916310,476002.0,100.0,230,2.58
Lust Academy - Season 3,2024-05-27,35401,14.99,473076.0,9.0,89,Indie,Bear in the Night,Bear in the Night,2655960,473076.0,100.0,105,1.67
Loop Queen-Escape Dungeon 3,2024-01-08,28946,19.99,469651.0,5.5,84,Indie,"Hide Games,PlayMeow",Hide Games,1950450,469651.0,100.0,245,3.63
Anonymous Hacker Simulator,2024-04-03,30891,19.99,469375.0,7.4,86,Indie,"G-DEVS.com,CreativeForge Games",Sicarius,2487060,534646.0,87.79,159,2.7
KINGDOM HEARTS HD 2.8 Final Chapter Prologue,2024-06-13,12254,59.99,467421.0,11.3,80,AA,Square Enix,Square Enix,2552440,12662055.0,3.69,88,5.31
Contractors Showdown,2024-04-25,27141,19.99,466608.0,18.2,80,Indie,Caveman Studio,Caveman Studio,2719160,466608.0,100.0,137,1.1
SaGa Emerald Beyond ,2024-04-25,10425,49.99,464418.0,56.9,75,AA,Square Enix,Square Enix,2085000,12662055.0,3.67,137,0.88
Dream Engines: Nomad Cities,2024-05-09,23463,29.99,458980.0,24.1,75,Indie,"Suncrash,Gamera Games",Suncrash,1076750,458980.0,100.0,123,1.24
SAMURAI WARRIORS 4 DX,2024-05-13,10192,49.99,458548.0,14.8,88,AA,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",2719200,458548.0,100.0,119,3.38
SUMMERHOUSE,2024-03-08,124989,4.99,457163.0,2.3,95,Indie,Future Friends Games,Friedemann,2533960,457163.0,100.0,185,2.17
Self Defense Dojo,2024-04-11,49053,10.99,454488.0,9.6,87,Indie,WAKUWAKU,WAKUWAKU,2534120,1092985.0,41.58,151,1.14
Rising Lords,2024-01-18,31478,19.99,450937.0,11.5,73,Indie,"Deck13,WhisperGames",Argonwood,835650,450937.0,100.0,235,1.74
Ogu and the Secret Forest,2024-07-29,29556,24.99,447349.0,12.4,96,Indie,Sinkhole Studio,"Moonlab Studio,Sinkhole Studio",1985960,447349.0,100.0,42,2.02
失业了，我获得了亿万游戏财产！,2024-08-08,41154,12.99,442047.0,5.4,0,Indie,Bolingogames,Bolingogames,2875140,442047.0,100.0,32,2.41
Guardians of Eden-Embrace of the Forest,2024-03-07,47876,10.99,440759.0,3.4,93,Indie,"Mango Party,Mango Party News",Black Cat Entertainment,2672430,4214598.0,10.46,186,3.23
STAR WARS™: Bounty Hunter™,2024-07-31,25198,19.99,440677.0,4.7,90,Indie,Aspyr,Aspyr,2419090,9751837.0,4.52,40,4.25
Trans-Siberian Railway Simulator,2024-05-30,26748,19.99,439367.0,7.5,92,AA,PlayWay S.A.,Pentacle,998400,10925072.0,4.02,102,2.67
Inkulinati,2024-02-22,32914,24.99,438381.0,10.3,89,AA,Daedalic Entertainment,Yaza Games,957960,4050926.0,10.82,200,2.43
Meta-Ghost: The Breaking Show,2024-04-24,29511,17.99,438131.0,27.9,74,Indie,"Flawless Gaming,Erabit",Scarecrow Studio,2507980,438131.0,100.0,138,0.64
迷宮校舎 | School Labyrinth,2024-02-21,72520,6.99,433805.0,6.6,83,Indie,RainyDollGames,RainyDollGames,2423300,433805.0,100.0,201,1.06
